eventID,deploymentID,scientificName,min_event_start,max_event_end,observation_count
82c2e5ad,665938b4a122a53b9a6eb5b6,Actitis macularius,2024-06-10 19:05:46+00:00,2024-06-10 19:05:46+00:00,1
84256eed,665938b4a122a53b9a6eb5b6,Nyctereutes,2023-12-15 10:31:27+00:00,2023-12-15 10:31:27+00:00,1
846cee34,665938b4a122a53b9a6eb5b6,Pelecaniformes,2023-12-15 10:43:39+00:00,2023-12-15 10:43:40+00:00,2
8507cce6,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2023-12-18 04:25:57+00:00,2023-12-18 04:25:57+00:00,1
86ae0401,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:18:32+00:00,2024-05-31 13:24:54+00:00,8
896e99ce,665938b4a122a53b9a6eb5b6,Branta canadensis,2023-12-15 09:03:20+00:00,2023-12-15 09:03:20+00:00,1
8b15889c,665938b4a122a53b9a6eb5b6,Canis latrans,2024-01-14 02:11:02+00:00,2024-01-14 02:11:02+00:00,1
8caeb4d1,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-08-19 18:36:10+00:00,2024-08-19 18:46:43+00:00,8
905bd2ef,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-06-01 14:15:02+00:00,2024-06-01 14:17:55+00:00,6
992adb78,665938b4a122a53b9a6eb5b6,Nycticorax,2024-08-12 22:23:56+00:00,2024-08-12 22:24:59+00:00,2
9a136603,665938b4a122a53b9a6eb5b6,Cornales,2024-12-17 12:34:04+00:00,2024-12-17 12:34:04+00:00,1
9ae670ec,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-05-31 13:56:33+00:00,2024-05-31 13:58:55+00:00,2
9e19540e,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2023-12-13 03:05:38+00:00,2023-12-13 03:05:38+00:00,1
9ebb0dad,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-05-31 13:46:23+00:00,2024-05-31 13:46:53+00:00,2
a314c668,665938b4a122a53b9a6eb5b6,Canis latrans,2024-01-30 04:30:19+00:00,2024-01-30 04:30:19+00:00,1
a503a252,665938b4a122a53b9a6eb5b6,Anaxyrus americanus,2023-12-12 05:44:30+00:00,2023-12-12 05:44:30+00:00,1
a953e76b,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2023-12-12 04:12:58+00:00,2023-12-12 04:13:04+00:00,2
ac92da3e,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-01-28 13:38:48+00:00,2024-01-28 13:38:48+00:00,1
acbdd33a,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-04-24 17:49:42+00:00,2024-04-24 17:51:14+00:00,3
aeec87d9,665938b4a122a53b9a6eb5b6,Canis latrans,2024-01-14 00:04:38+00:00,2024-01-14 00:04:38+00:00,1
b28172fa,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2023-12-17 20:03:46+00:00,2023-12-17 20:03:46+00:00,1
